,000019.SZ,000061.SZ,000301.SZ,000429.SZ,000505.SZ,000506.SZ,000544.SZ,000550.SZ,000553.SZ,000564.SZ,000584.SZ,000608.SZ,000620.SZ,000622.SZ,000656.SZ,000672.SZ,000679.SZ,000708.SZ,000719.SZ,000729.SZ,000761.SZ,000796.SZ,000869.SZ,000885.SZ,000889.SZ,000895.SZ,000912.SZ,000920.SZ,000967.SZ,001203.SZ,001210.SZ,001218.SZ,001222.SZ,001230.SZ,001289.SZ,001308.SZ,001322.SZ,001323.SZ,001872.SZ,001965.SZ,002005.SZ,002007.SZ,002014.SZ,002032.SZ,002034.SZ,002047.SZ,002052.SZ,002088.SZ,002134.SZ,002141.SZ,002201.SZ,002203.SZ,002219.SZ,002233.SZ,002238.SZ,002242.SZ,002259.SZ,002270.SZ,002275.SZ,002282.SZ,002287.SZ,002289.SZ,002293.SZ,002301.SZ,002310.SZ,002311.SZ,002327.SZ,002330.SZ,002336.SZ,002372.SZ,002391.SZ,002399.SZ,002440.SZ,002461.SZ,002493.SZ,002496.SZ,002508.SZ,002543.SZ,002563.SZ,002573.SZ,002577.SZ,002595.SZ,002606.SZ,002637.SZ,002661.SZ,002674.SZ,002677.SZ,002678.SZ,002687.SZ,002721.SZ,002724.SZ,002732.SZ,002737.SZ,002746.SZ,002749.SZ,002750.SZ,002755.SZ,002758.SZ,002809.SZ,002817.SZ,002818.SZ,002831.SZ,002868.SZ,002879.SZ,002880.SZ,002889.SZ,002890.SZ,002901.SZ,002911.SZ,002942.SZ,002946.SZ,002949.SZ,002950.SZ,002951.SZ,002956.SZ,002971.SZ,002980.SZ,002983.SZ,003002.SZ,003006.SZ,003009.SZ,003012.SZ,003013.SZ,003016.SZ,003031.SZ,003033.SZ,003037.SZ,003039.SZ,300006.SZ,300013.SZ,300029.SZ,300043.SZ,300072.SZ,300078.SZ,300094.SZ,300103.SZ,300110.SZ,300111.SZ,300126.SZ,300138.SZ,300143.SZ,300145.SZ,300148.SZ,300150.SZ,300157.SZ,300159.SZ,300163.SZ,300164.SZ,300165.SZ,300185.SZ,300187.SZ,300189.SZ,300190.SZ,300197.SZ,300208.SZ,300209.SZ,300214.SZ,300220.SZ,300247.SZ,300256.SZ,300259.SZ,300266.SZ,300267.SZ,300268.SZ,300282.SZ,300287.SZ,300289.SZ,300294.SZ,300298.SZ,300300.SZ,300313.SZ,300318.SZ,300324.SZ,300355.SZ,300370.SZ,300371.SZ,300376.SZ,300397.SZ,300407.SZ,300420.SZ,300425.SZ,300485.SZ,300492.SZ,300506.SZ,300512.SZ,300540.SZ,300583.SZ,300584.SZ,300625.SZ,300689.SZ,300695.SZ,300698.SZ,300708.SZ,300715.SZ,300722.SZ,300723.SZ,300741.SZ,300761.SZ,300797.SZ,300800.SZ,300821.SZ,300822.SZ,300824.SZ,300834.SZ,300838.SZ,300847.SZ,300851.SZ,300864.SZ,300867.SZ,300877.SZ,300886.SZ,300908.SZ,300915.SZ,300929.SZ,300960.SZ,300961.SZ,300962.SZ,300970.SZ,300979.SZ,300983.SZ,300997.SZ,301002.SZ,301003.SZ,301004.SZ,301006.SZ,301015.SZ,301028.SZ,301032.SZ,301035.SZ,301037.SZ,301038.SZ,301039.SZ,301056.SZ,301061.SZ,301065.SZ,301068.SZ,301081.SZ,301087.SZ,301088.SZ,301090.SZ,301097.SZ,301100.SZ,301102.SZ,301106.SZ,301116.SZ,301148.SZ,301156.SZ,301177.SZ,301197.SZ,301212.SZ,301255.SZ,301265.SZ,301268.SZ,301273.SZ,301277.SZ,301296.SZ,301336.SZ,301339.SZ,301367.SZ,301376.SZ,301395.SZ,301429.SZ,301468.SZ,301518.SZ,301602.SZ,600000.SH,600004.SH,600007.SH,600009.SH,600012.SH,600018.SH,600020.SH,600025.SH,600028.SH,600032.SH,600039.SH,600057.SH,600081.SH,600097.SH,600098.SH,600099.SH,600104.SH,600108.SH,600116.SH,600117.SH,600127.SH,600128.SH,600132.SH,600153.SH,600161.SH,600167.SH,600168.SH,600177.SH,600178.SH,600189.SH,600190.SH,600191.SH,600197.SH,600199.SH,600200.SH,600217.SH,600225.SH,600229.SH,600231.SH,600232.SH,600234.SH,600236.SH,600258.SH,600267.SH,600279.SH,600282.SH,600295.SH,600299.SH,600305.SH,600312.SH,600319.SH,600323.SH,600346.SH,600350.SH,600356.SH,600358.SH,600359.SH,600372.SH,600375.SH,600377.SH,600378.SH,600382.SH,600387.SH,600403.SH,600406.SH,600419.SH,600429.SH,600436.SH,600461.SH,600462.SH,600463.SH,600469.SH,600488.SH,600496.SH,600499.SH,600508.SH,600516.SH,600517.SH,600526.SH,600530.SH,600548.SH,600551.SH,600560.SH,600562.SH,600566.SH,600569.SH,600578.SH,600585.SH,600594.SH,600599.SH,600603.SH,600608.SH,600612.SH,600613.SH,600615.SH,600616.SH,600620.SH,600626.SH,600636.SH,600639.SH,600640.SH,600648.SH,600650.SH,600654.SH,600655.SH,600662.SH,600663.SH,600665.SH,600666.SH,600674.SH,600681.SH,600683.SH,600688.SH,600689.SH,600696.SH,600715.SH,600724.SH,600741.SH,600746.SH,600750.SH,600757.SH,600769.SH,600774.SH,600777.SH,600779.SH,600780.SH,600790.SH,600791.SH,600793.SH,600794.SH,600796.SH,600801.SH,600803.SH,600804.SH,600809.SH,600810.SH,600817.SH,600819.SH,600827.SH,600828.SH,600829.SH,600831.SH,600834.SH,600841.SH,600846.SH,600847.SH,600848.SH,600851.SH,600853.SH,600857.SH,600861.SH,600865.SH,600874.SH,600876.SH,600883.SH,600885.SH,600886.SH,600892.SH,600894.SH,600897.SH,600900.SH,600901.SH,600917.SH,600925.SH,600927.SH,600935.SH,600939.SH,600955.SH,600956.SH,600966.SH,600968.SH,600969.SH,600983.SH,600989.SH,600990.SH,600993.SH,600995.SH,600997.SH,600998.SH,601000.SH,601003.SH,601009.SH,601015.SH,601018.SH,601019.SH,601021.SH,601033.SH,601066.SH,601068.SH,601088.SH,601096.SH,601098.SH,601106.SH,601107.SH,601139.SH,601158.SH,601163.SH,601200.SH,601225.SH,601228.SH,601229.SH,601236.SH,601279.SH,601288.SH,601298.SH,601319.SH,601326.SH,601330.SH,601339.SH,601366.SH,601368.SH,601369.SH,601398.SH,601512.SH,601566.SH,601568.SH,601577.SH,601579.SH,601598.SH,601607.SH,601609.SH,601628.SH,601633.SH,601658.SH,601686.SH,601700.SH,601702.SH,601728.SH,601777.SH,601798.SH,601800.SH,601801.SH,601808.SH,601811.SH,601816.SH,601825.SH,601827.SH,601857.SH,601858.SH,601865.SH,601877.SH,601882.SH,601886.SH,601898.SH,601921.SH,601928.SH,601949.SH,601952.SH,601956.SH,601963.SH,601965.SH,601966.SH,601968.SH,601988.SH,601998.SH,601999.SH,603006.SH,603010.SH,603013.SH,603016.SH,603025.SH,603033.SH,603039.SH,603041.SH,603043.SH,603048.SH,603050.SH,603052.SH,603053.SH,603055.SH,603056.SH,603057.SH,603059.SH,603060.SH,603066.SH,603070.SH,603071.SH,603073.SH,603076.SH,603086.SH,603095.SH,603096.SH,603097.SH,603101.SH,603102.SH,603103.SH,603106.SH,603107.SH,603111.SH,603112.SH,603115.SH,603116.SH,603117.SH,603122.SH,603126.SH,603130.SH,603132.SH,603135.SH,603137.SH,603151.SH,603153.SH,603155.SH,603156.SH,603159.SH,603162.SH,603165.SH,603170.SH,603172.SH,603176.SH,603177.SH,603178.SH,603180.SH,603181.SH,603182.SH,603187.SH,603188.SH,603190.SH,603192.SH,603193.SH,603195.SH,603198.SH,603199.SH,603201.SH,603206.SH,603208.SH,603209.SH,603213.SH,603217.SH,603219.SH,603221.SH,603227.SH,603230.SH,603233.SH,603235.SH,603237.SH,603260.SH,603277.SH,603281.SH,603282.SH,603288.SH,603289.SH,603301.SH,603303.SH,603307.SH,603311.SH,603313.SH,603317.SH,603321.SH,603326.SH,603327.SH,603332.SH,603337.SH,603339.SH,603348.SH,603351.SH,603353.SH,603355.SH,603357.SH,603365.SH,603366.SH,603367.SH,603369.SH,603385.SH,603387.SH,603389.SH,603392.SH,603408.SH,603421.SH,603488.SH,603489.SH,603496.SH,603511.SH,603515.SH,603519.SH,603536.SH,603551.SH,603558.SH,603559.SH,603565.SH,603567.SH,603568.SH,603569.SH,603578.SH,603580.SH,603585.SH,603586.SH,603587.SH,603589.SH,603590.SH,603600.SH,603602.SH,603608.SH,603609.SH,603615.SH,603617.SH,603630.SH,603638.SH,603639.SH,603648.SH,603658.SH,603661.SH,603676.SH,603677.SH,603680.SH,603685.SH,603689.SH,603693.SH,603697.SH,603698.SH,603699.SH,603700.SH,603706.SH,603707.SH,603708.SH,603711.SH,603719.SH,603730.SH,603733.SH,603737.SH,603755.SH,603759.SH,603767.SH,603778.SH,603779.SH,603786.SH,603788.SH,603797.SH,603801.SH,603803.SH,603808.SH,603813.SH,603816.SH,603817.SH,603819.SH,603826.SH,603829.SH,603833.SH,603836.SH,603839.SH,603848.SH,603855.SH,603856.SH,603858.SH,603861.SH,603866.SH,603868.SH,603871.SH,603877.SH,603879.SH,603886.SH,603889.SH,603896.SH,603898.SH,603899.SH,603908.SH,603909.SH,603915.SH,603916.SH,603919.SH,603926.SH,603928.SH,603937.SH,603938.SH,603939.SH,603948.SH,603949.SH,603956.SH,603967.SH,603968.SH,603970.SH,603976.SH,603982.SH,603983.SH,603987.SH,603989.SH,603991.SH,603992.SH,603995.SH,603997.SH,603998.SH,603999.SH,605001.SH,605003.SH,605005.SH,605006.SH,605007.SH,605008.SH,605009.SH,605018.SH,605033.SH,605055.SH,605056.SH,605058.SH,605077.SH,605080.SH,605089.SH,605099.SH,605100.SH,605108.SH,605116.SH,605118.SH,605122.SH,605138.SH,605151.SH,605158.SH,605162.SH,605166.SH,605169.SH,605177.SH,605179.SH,605180.SH,605183.SH,605188.SH,605189.SH,605198.SH,605218.SH,605222.SH,605228.SH,605259.SH,605266.SH,605268.SH,605288.SH,605296.SH,605298.SH,605299.SH,605300.SH,605318.SH,605337.SH,605338.SH,605339.SH,605365.SH,605366.SH,605368.SH,605369.SH,605377.SH,605378.SH,605500.SH,605507.SH,605566.SH,605567.SH,605580.SH,605598.SH,605599.SH,688001.SH,688009.SH,688011.SH,688013.SH,688015.SH,688021.SH,688026.SH,688030.SH,688035.SH,688038.SH,688041.SH,688046.SH,688055.SH,688056.SH,688057.SH,688058.SH,688060.SH,688065.SH,688067.SH,688069.SH,688075.SH,688078.SH,688079.SH,688082.SH,688085.SH,688093.SH,688096.SH,688098.SH,688100.SH,688101.SH,688102.SH,688105.SH,688109.SH,688112.SH,688113.SH,688119.SH,688126.SH,688128.SH,688129.SH,688132.SH,688148.SH,688151.SH,688157.SH,688161.SH,688163.SH,688165.SH,688172.SH,688176.SH,688177.SH,688178.SH,688188.SH,688193.SH,688196.SH,688198.SH,688203.SH,688211.SH,688212.SH,688215.SH,688217.SH,688219.SH,688221.SH,688223.SH,688231.SH,688232.SH,688236.SH,688238.SH,688244.SH,688247.SH,688251.SH,688265.SH,688269.SH,688276.SH,688277.SH,688278.SH,688280.SH,688283.SH,688285.SH,688287.SH,688293.SH,688295.SH,688296.SH,688306.SH,688309.SH,688310.SH,688314.SH,688315.SH,688317.SH,688319.SH,688323.SH,688329.SH,688330.SH,688335.SH,688336.SH,688338.SH,688345.SH,688349.SH,688350.SH,688353.SH,688355.SH,688365.SH,688366.SH,688367.SH,688368.SH,688370.SH,688373.SH,688375.SH,688379.SH,688385.SH,688387.SH,688389.SH,688391.SH,688395.SH,688396.SH,688398.SH,688403.SH,688410.SH,688420.SH,688425.SH,688426.SH,688428.SH,688429.SH,688432.SH,688450.SH,688455.SH,688459.SH,688466.SH,688468.SH,688469.SH,688472.SH,688475.SH,688479.SH,688485.SH,688488.SH,688489.SH,688505.SH,688509.SH,688511.SH,688512.SH,688513.SH,688517.SH,688520.SH,688526.SH,688528.SH,688529.SH,688535.SH,688538.SH,688548.SH,688549.SH,688551.SH,688558.SH,688561.SH,688565.SH,688566.SH,688569.SH,688570.SH,688571.SH,688575.SH,688579.SH,688584.SH,688585.SH,688586.SH,688588.SH,688593.SH,688597.SH,688602.SH,688606.SH,688609.SH,688610.SH,688611.SH,688616.SH,688617.SH,688619.SH,688620.SH,688625.SH,688633.SH,688638.SH,688655.SH,688656.SH,688659.SH,688660.SH,688670.SH,688671.SH,688677.SH,688679.SH,688681.SH,688683.SH,688695.SH,688697.SH,688699.SH,688701.SH,688718.SH,688728.SH,688739.SH,688779.SH,688789.SH,688793.SH,688800.SH,688819.SH
2026-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2026-07-13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,1,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
