,000001.SZ,000002.SZ,000009.SZ,000011.SZ,000012.SZ,000017.SZ,000019.SZ,000020.SZ,000027.SZ,000028.SZ,000035.SZ,000037.SZ,000039.SZ,000049.SZ,000050.SZ,000055.SZ,000060.SZ,000061.SZ,000068.SZ,000070.SZ,000088.SZ,000089.SZ,000151.SZ,000155.SZ,000156.SZ,000157.SZ,000166.SZ,000301.SZ,000333.SZ,000338.SZ,000401.SZ,000403.SZ,000404.SZ,000408.SZ,000410.SZ,000423.SZ,000425.SZ,000429.SZ,000498.SZ,000501.SZ,000507.SZ,000513.SZ,000516.SZ,000521.SZ,000528.SZ,000529.SZ,000531.SZ,000538.SZ,000544.SZ,000557.SZ,000568.SZ,000570.SZ,000581.SZ,000589.SZ,000591.SZ,000592.SZ,000598.SZ,000601.SZ,000615.SZ,000623.SZ,000625.SZ,000636.SZ,000637.SZ,000650.SZ,000651.SZ,000652.SZ,000661.SZ,000669.SZ,000672.SZ,000680.SZ,000683.SZ,000685.SZ,000686.SZ,000698.SZ,000703.SZ,000708.SZ,000709.SZ,000711.SZ,000713.SZ,000717.SZ,000725.SZ,000726.SZ,000728.SZ,000729.SZ,000731.SZ,000739.SZ,000750.SZ,000751.SZ,000752.SZ,000755.SZ,000767.SZ,000776.SZ,000778.SZ,000779.SZ,000782.SZ,000783.SZ,000786.SZ,000789.SZ,000792.SZ,000796.SZ,000800.SZ,000802.SZ,000809.SZ,000825.SZ,000828.SZ,000838.SZ,000839.SZ,000848.SZ,000850.SZ,000858.SZ,000860.SZ,000869.SZ,000875.SZ,000876.SZ,000877.SZ,000878.SZ,000883.SZ,000895.SZ,000898.SZ,000900.SZ,000902.SZ,000905.SZ,000910.SZ,000912.SZ,000915.SZ,000928.SZ,000930.SZ,000931.SZ,000937.SZ,000958.SZ,000960.SZ,000966.SZ,000967.SZ,000970.SZ,000972.SZ,000975.SZ,000983.SZ,000989.SZ,000998.SZ,000999.SZ,001205.SZ,001213.SZ,001216.SZ,001218.SZ,001227.SZ,001238.SZ,001269.SZ,001283.SZ,001286.SZ,001289.SZ,001323.SZ,001328.SZ,001378.SZ,001391.SZ,001872.SZ,001965.SZ,001979.SZ,002001.SZ,002003.SZ,002004.SZ,002007.SZ,002014.SZ,002020.SZ,002024.SZ,002027.SZ,002028.SZ,002029.SZ,002032.SZ,002034.SZ,002035.SZ,002039.SZ,002043.SZ,002054.SZ,002056.SZ,002061.SZ,002064.SZ,002078.SZ,002091.SZ,002092.SZ,002099.SZ,002100.SZ,002101.SZ,002102.SZ,002108.SZ,002110.SZ,002116.SZ,002122.SZ,002128.SZ,002142.SZ,002157.SZ,002179.SZ,002198.SZ,002200.SZ,002203.SZ,002210.SZ,002214.SZ,002216.SZ,002221.SZ,002223.SZ,002224.SZ,002228.SZ,002233.SZ,002236.SZ,002237.SZ,002239.SZ,002252.SZ,002259.SZ,002262.SZ,002263.SZ,002266.SZ,002267.SZ,002275.SZ,002287.SZ,002289.SZ,002293.SZ,002294.SZ,002302.SZ,002304.SZ,002311.SZ,002318.SZ,002322.SZ,002327.SZ,002332.SZ,002340.SZ,002345.SZ,002346.SZ,002352.SZ,002353.SZ,002360.SZ,002372.SZ,002379.SZ,002382.SZ,002385.SZ,002391.SZ,002393.SZ,002399.SZ,002405.SZ,002408.SZ,002415.SZ,002422.SZ,002423.SZ,002424.SZ,002430.SZ,002440.SZ,002458.SZ,002462.SZ,002470.SZ,002481.SZ,002484.SZ,002485.SZ,002493.SZ,002500.SZ,002507.SZ,002508.SZ,002515.SZ,002521.SZ,002532.SZ,002533.SZ,002538.SZ,002539.SZ,002540.SZ,002550.SZ,002564.SZ,002567.SZ,002569.SZ,002572.SZ,002573.SZ,002586.SZ,002594.SZ,002595.SZ,002597.SZ,002601.SZ,002603.SZ,002614.SZ,002637.SZ,002648.SZ,002650.SZ,002661.SZ,002663.SZ,002667.SZ,002673.SZ,002675.SZ,002677.SZ,002683.SZ,002695.SZ,002700.SZ,002701.SZ,002714.SZ,002721.SZ,002732.SZ,002734.SZ,002736.SZ,002737.SZ,002749.SZ,002752.SZ,002758.SZ,002762.SZ,002797.SZ,002807.SZ,002818.SZ,002822.SZ,002831.SZ,002832.SZ,002839.SZ,002840.SZ,002841.SZ,002868.SZ,002872.SZ,002879.SZ,002880.SZ,002884.SZ,002901.SZ,002918.SZ,002926.SZ,002932.SZ,002936.SZ,002939.SZ,002941.SZ,002948.SZ,002956.SZ,002958.SZ,002959.SZ,002960.SZ,002966.SZ,002986.SZ,002991.SZ,003012.SZ,003013.SZ,003016.SZ,003020.SZ,003027.SZ,003031.SZ,003035.SZ,003816.SZ,300009.SZ,300021.SZ,300022.SZ,300026.SZ,300037.SZ,300048.SZ,300070.SZ,300119.SZ,300124.SZ,300146.SZ,300159.SZ,300181.SZ,300196.SZ,300224.SZ,300268.SZ,300294.SZ,300301.SZ,300326.SZ,300332.SZ,300393.SZ,300406.SZ,300408.SZ,300425.SZ,300433.SZ,300441.SZ,300463.SZ,300470.SZ,300498.SZ,300529.SZ,300555.SZ,300580.SZ,300592.SZ,300631.SZ,300664.SZ,300669.SZ,300685.SZ,300740.SZ,300750.SZ,300760.SZ,300761.SZ,300832.SZ,300834.SZ,300858.SZ,300866.SZ,300869.SZ,300888.SZ,300908.SZ,300915.SZ,300979.SZ,300997.SZ,300999.SZ,301004.SZ,301019.SZ,301039.SZ,301115.SZ,301206.SZ,301216.SZ,301223.SZ,301285.SZ,301286.SZ,301296.SZ,301301.SZ,301327.SZ,301332.SZ,301356.SZ,301395.SZ,301468.SZ,301508.SZ,301665.SZ,600000.SH,600004.SH,600007.SH,600008.SH,600009.SH,600010.SH,600011.SH,600012.SH,600015.SH,600016.SH,600017.SH,600018.SH,600019.SH,600020.SH,600022.SH,600023.SH,600025.SH,600027.SH,600028.SH,600029.SH,600030.SH,600031.SH,600032.SH,600033.SH,600035.SH,600036.SH,600039.SH,600048.SH,600050.SH,600051.SH,600053.SH,600055.SH,600056.SH,600057.SH,600058.SH,600059.SH,600061.SH,600062.SH,600063.SH,600064.SH,600066.SH,600067.SH,600073.SH,600075.SH,600079.SH,600080.SH,600084.SH,600085.SH,600089.SH,600098.SH,600104.SH,600108.SH,600109.SH,600111.SH,600115.SH,600116.SH,600119.SH,600120.SH,600123.SH,600125.SH,600127.SH,600131.SH,600132.SH,600136.SH,600138.SH,600143.SH,600153.SH,600155.SH,600161.SH,600167.SH,600168.SH,600169.SH,600170.SH,600176.SH,600177.SH,600179.SH,600182.SH,600188.SH,600196.SH,600197.SH,600207.SH,600210.SH,600216.SH,600219.SH,600221.SH,600226.SH,600233.SH,600236.SH,600248.SH,600251.SH,600252.SH,600261.SH,600265.SH,600267.SH,600269.SH,600273.SH,600276.SH,600278.SH,600279.SH,600282.SH,600283.SH,600284.SH,600285.SH,600289.SH,600293.SH,600295.SH,600298.SH,600299.SH,600305.SH,600307.SH,600308.SH,600309.SH,600310.SH,600312.SH,600323.SH,600325.SH,600328.SH,600329.SH,600332.SH,600339.SH,600346.SH,600350.SH,600351.SH,600352.SH,600356.SH,600362.SH,600365.SH,600368.SH,600369.SH,600372.SH,600373.SH,600377.SH,600378.SH,600380.SH,600382.SH,600388.SH,600389.SH,600390.SH,600395.SH,600398.SH,600406.SH,600409.SH,600415.SH,600420.SH,600422.SH,600425.SH,600426.SH,600433.SH,600436.SH,600449.SH,600459.SH,600461.SH,600475.SH,600479.SH,600483.SH,600486.SH,600488.SH,600489.SH,600496.SH,600499.SH,600500.SH,600502.SH,600507.SH,600508.SH,600511.SH,600512.SH,600515.SH,600516.SH,600518.SH,600519.SH,600525.SH,600527.SH,600528.SH,600529.SH,600530.SH,600535.SH,600547.SH,600548.SH,600559.SH,600566.SH,600567.SH,600568.SH,600569.SH,600572.SH,600582.SH,600583.SH,600585.SH,600587.SH,600596.SH,600597.SH,600598.SH,600600.SH,600604.SH,600611.SH,600612.SH,600616.SH,600628.SH,600635.SH,600637.SH,600639.SH,600642.SH,600648.SH,600654.SH,600655.SH,600660.SH,600662.SH,600663.SH,600668.SH,600671.SH,600673.SH,600674.SH,600679.SH,600681.SH,600688.SH,600689.SH,600690.SH,600694.SH,600703.SH,600704.SH,600707.SH,600708.SH,600713.SH,600717.SH,600720.SH,600722.SH,600729.SH,600731.SH,600734.SH,600737.SH,600739.SH,600740.SH,600741.SH,600746.SH,600750.SH,600751.SH,600755.SH,600757.SH,600759.SH,600771.SH,600777.SH,600782.SH,600787.SH,600790.SH,600795.SH,600798.SH,600803.SH,600809.SH,600812.SH,600815.SH,600816.SH,600820.SH,600821.SH,600827.SH,600828.SH,600833.SH,600834.SH,600843.SH,600845.SH,600848.SH,600861.SH,600863.SH,600864.SH,600865.SH,600867.SH,600872.SH,600873.SH,600874.SH,600876.SH,600885.SH,600886.SH,600887.SH,600888.SH,600893.SH,600894.SH,600897.SH,600900.SH,600901.SH,600905.SH,600908.SH,600909.SH,600916.SH,600917.SH,600918.SH,600919.SH,600925.SH,600926.SH,600928.SH,600929.SH,600935.SH,600938.SH,600941.SH,600955.SH,600958.SH,600959.SH,600967.SH,600970.SH,600971.SH,600976.SH,600977.SH,600982.SH,600983.SH,600987.SH,600989.SH,600993.SH,600995.SH,600997.SH,600998.SH,600999.SH,601000.SH,601005.SH,601006.SH,601009.SH,601010.SH,601012.SH,601016.SH,601018.SH,601019.SH,601021.SH,601033.SH,601058.SH,601059.SH,601061.SH,601065.SH,601066.SH,601068.SH,601077.SH,601088.SH,601089.SH,601098.SH,601106.SH,601108.SH,601111.SH,601117.SH,601126.SH,601128.SH,601139.SH,601156.SH,601158.SH,601163.SH,601166.SH,601168.SH,601169.SH,601186.SH,601187.SH,601198.SH,601200.SH,601211.SH,601216.SH,601222.SH,601225.SH,601228.SH,601229.SH,601233.SH,601236.SH,601238.SH,601288.SH,601298.SH,601311.SH,601318.SH,601319.SH,601328.SH,601330.SH,601333.SH,601339.SH,601366.SH,601368.SH,601369.SH,601375.SH,601377.SH,601390.SH,601398.SH,601399.SH,601456.SH,601500.SH,601512.SH,601528.SH,601555.SH,601567.SH,601568.SH,601577.SH,601598.SH,601600.SH,601601.SH,601607.SH,601609.SH,601618.SH,601628.SH,601633.SH,601636.SH,601658.SH,601665.SH,601666.SH,601668.SH,601669.SH,601678.SH,601686.SH,601688.SH,601696.SH,601699.SH,601718.SH,601727.SH,601728.SH,601766.SH,601788.SH,601799.SH,601800.SH,601808.SH,601816.SH,601818.SH,601825.SH,601827.SH,601838.SH,601857.SH,601860.SH,601865.SH,601866.SH,601868.SH,601877.SH,601878.SH,601880.SH,601888.SH,601898.SH,601899.SH,601901.SH,601916.SH,601918.SH,601919.SH,601928.SH,601939.SH,601949.SH,601952.SH,601958.SH,601963.SH,601965.SH,601968.SH,601985.SH,601988.SH,601990.SH,601992.SH,601995.SH,601997.SH,601998.SH,603008.SH,603010.SH,603012.SH,603018.SH,603020.SH,603031.SH,603035.SH,603039.SH,603043.SH,603049.SH,603053.SH,603057.SH,603060.SH,603071.SH,603077.SH,603087.SH,603091.SH,603099.SH,603102.SH,603107.SH,603111.SH,603117.SH,603128.SH,603129.SH,603156.SH,603163.SH,603167.SH,603181.SH,603182.SH,603187.SH,603195.SH,603197.SH,603202.SH,603207.SH,603208.SH,603209.SH,603225.SH,603233.SH,603235.SH,603237.SH,603255.SH,603259.SH,603260.SH,603277.SH,603279.SH,603281.SH,603288.SH,603298.SH,603300.SH,603301.SH,603310.SH,603317.SH,603323.SH,603330.SH,603337.SH,603339.SH,603351.SH,603355.SH,603357.SH,603363.SH,603365.SH,603368.SH,603369.SH,603377.SH,603392.SH,603393.SH,603439.SH,603505.SH,603511.SH,603515.SH,603529.SH,603551.SH,603556.SH,603557.SH,603559.SH,603565.SH,603566.SH,603568.SH,603578.SH,603587.SH,603589.SH,603606.SH,603608.SH,603609.SH,603637.SH,603638.SH,603639.SH,603648.SH,603655.SH,603658.SH,603685.SH,603688.SH,603689.SH,603690.SH,603700.SH,603713.SH,603730.SH,603759.SH,603786.SH,603810.SH,603811.SH,603815.SH,603816.SH,603826.SH,603855.SH,603856.SH,603858.SH,603866.SH,603869.SH,603877.SH,603885.SH,603886.SH,603889.SH,603896.SH,603899.SH,603919.SH,603922.SH,603939.SH,603983.SH,603987.SH,603993.SH,605009.SH,605033.SH,605050.SH,605066.SH,605077.SH,605090.SH,605183.SH,605259.SH,605300.SH,605339.SH,605368.SH,605369.SH,605377.SH,605499.SH,605507.SH,605566.SH,605577.SH,605589.SH,605599.SH,688009.SH,688015.SH,688029.SH,688050.SH,688057.SH,688065.SH,688075.SH,688076.SH,688087.SH,688100.SH,688119.SH,688120.SH,688130.SH,688137.SH,688146.SH,688151.SH,688161.SH,688177.SH,688184.SH,688188.SH,688198.SH,688209.SH,688211.SH,688212.SH,688218.SH,688219.SH,688232.SH,688235.SH,688247.SH,688249.SH,688253.SH,688256.SH,688257.SH,688267.SH,688269.SH,688271.SH,688276.SH,688278.SH,688282.SH,688289.SH,688293.SH,688301.SH,688317.SH,688335.SH,688338.SH,688349.SH,688352.SH,688363.SH,688366.SH,688370.SH,688387.SH,688389.SH,688396.SH,688408.SH,688420.SH,688425.SH,688459.SH,688468.SH,688469.SH,688480.SH,688505.SH,688513.SH,688526.SH,688538.SH,688548.SH,688563.SH,688566.SH,688569.SH,688570.SH,688575.SH,688576.SH,688581.SH,688606.SH,688611.SH,688612.SH,688623.SH,688638.SH,688639.SH,688660.SH,688722.SH,688739.SH,688793.SH,689009.SH,600636.SH,600837.SH,601989.SH,603603.SH
2026-07-10,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
